"","Id2","Estimate;_Total:","year","commute_time","num_ppl"
"1","0100000US",132854797,2006,"Less_than_5_minutes",4996796
"2","0100000US",133583062,2007,"Less_than_5_minutes",4747649
"3","0100000US",138098545,2008,"Less_than_5_minutes",4680782
"4","0100000US",132673634,2009,"Less_than_5_minutes",4471836
"5","0100000US",131016810,2010,"Less_than_5_minutes",4316388
"6","0100000US",132275850,2011,"Less_than_5_minutes",4307157
"7","0100000US",134719017,2012,"Less_than_5_minutes",4262271
"8","0100000US",136733367,2013,"Less_than_5_minutes",4230300
"9","0100000US",139328071,2014,"Less_than_5_minutes",4200780
"10","0100000US",141481178,2015,"Less_than_5_minutes",4088020
"11","0100000US",142785366,2016,"Less_than_5_minutes",4039283
"12","0100000US",144808353,2017,"Less_than_5_minutes",4003538
"13","0100000US",132854797,2006,"5_to_9_minutes",14609455
"14","0100000US",133583062,2007,"5_to_9_minutes",14204074
"15","0100000US",138098545,2008,"5_to_9_minutes",14624728
"16","0100000US",132673634,2009,"5_to_9_minutes",14093633
"17","0100000US",131016810,2010,"5_to_9_minutes",13546127
"18","0100000US",132275850,2011,"5_to_9_minutes",13481111
"19","0100000US",134719017,2012,"5_to_9_minutes",13623662
"20","0100000US",136733367,2013,"5_to_9_minutes",13732436
"21","0100000US",139328071,2014,"5_to_9_minutes",13815303
"22","0100000US",141481178,2015,"5_to_9_minutes",13754688
"23","0100000US",142785366,2016,"5_to_9_minutes",13790224
"24","0100000US",144808353,2017,"5_to_9_minutes",13680993
"25","0100000US",132854797,2006,"10_to_14_minutes",19047772
"26","0100000US",133583062,2007,"10_to_14_minutes",19240214
"27","0100000US",138098545,2008,"10_to_14_minutes",19922112
"28","0100000US",132673634,2009,"10_to_14_minutes",19327668
"29","0100000US",131016810,2010,"10_to_14_minutes",18946480
"30","0100000US",132275850,2011,"10_to_14_minutes",18928736
"31","0100000US",134719017,2012,"10_to_14_minutes",19213506
"32","0100000US",136733367,2013,"10_to_14_minutes",19101441
"33","0100000US",139328071,2014,"10_to_14_minutes",19188996
"34","0100000US",141481178,2015,"10_to_14_minutes",19270440
"35","0100000US",142785366,2016,"10_to_14_minutes",19257653
"36","0100000US",144808353,2017,"10_to_14_minutes",19200944
"37","0100000US",132854797,2006,"15_to_19_minutes",20435685
"38","0100000US",133583062,2007,"15_to_19_minutes",20672398
